source_id,ra,dec,pmra,pmdec,phot_g_mean_mag,b_jkc_mag,v_jkc_mag,r_jkc_mag,i_jkc_mag,g_sdss_mag,r_sdss_mag,i_sdss_mag,c_star
1903906161337080320,339.1220704475952,34.47938879165991,-4.921390886692547,-8.254834844448688,14.077463150024414,14.604204177856445,14.188040733337402,13.928040504455566,13.659770011901855,14.309210777282715,14.087417602539062,14.037260055541992,-0.005807399749755859
1903908326000764416,339.2180087094554,34.565897932643765,5.0015549188253,0.9772439674866473,16.674562454223633,17.630271911621094,16.876476287841797,16.44709587097168,16.029935836791992,17.195491790771484,16.644084930419922,16.444822311401367,-0.0024611949920654297
1903908188561808128,339.1759893807639,34.57285434878554,-7.191626494465857,-18.243849265869073,16.208141326904297,17.82965850830078,16.64727020263672,15.920913696289062,15.32312297821045,17.246946334838867,16.165142059326172,15.784796714782715,-0.008505702018737793
1903157187759881472,339.21732358170215,34.518502036761355,2.9080836360248106,-0.20836159767316678,15.473226547241211,16.28289222717285,15.64611530303955,15.26860237121582,14.891088485717773,15.89883041381836,15.453690528869629,15.297685623168945,0.013851761817932129
1903157840594903552,339.2510482119212,34.577654345416114,-1.695292581398146,-0.5063028929555338,13.982675552368164,14.696361541748047,14.135693550109863,13.79202938079834,13.44884204864502,14.346423149108887,13.969575881958008,13.846305847167969,-7.18832015991211e-05
1903162547879113600,339.49685103337674,34.356258393414244,15.463864188825143,-0.205595286262172,12.83326530456543,13.785916328430176,13.041504859924316,12.607831001281738,12.205354690551758,13.354241371154785,12.801520347595215,12.615406036376953,-0.0028095245361328125
1903137843227045504,339.32721754738566,34.27385253879032,-62.38700232131741,-25.9355166004316,11.982295989990234,13.153250694274902,12.252044677734375,11.723633766174316,11.262513160705566,12.653687477111816,11.932347297668457,11.68887996673584,-0.0038118362426757812
1903139080177812096,339.48657225558077,34.33540238784358,2.8394619275001274,-4.077982999171872,17.2576904296875,18.072391510009766,17.407608032226562,17.02971649169922,16.613445281982422,17.680194854736328,17.222061157226562,17.022619247436523,0.03856205940246582
1903138702220694272,339.4601485303977,34.29519839995382,-5.4090965246284926,-2.0891025660394575,13.150195121765137,14.542691230773926,13.456853866577148,12.886957168579102,12.355001449584961,13.957595825195312,13.114651679992676,12.803021430969238,-0.00451350212097168
1903177253847284224,339.46238677472525,34.53036667742526,3.8176587171533214,-2.4712150815373963,16.88710594177246,18.848535537719727,17.464466094970703,16.6033935546875,15.828399658203125,18.219770431518555,16.897611618041992,16.333681106567383,0.03344392776489258
